INT	INT	INT	STRING	INT	INT	INT	INT
50	0	10	zhonger	1500	200	0	3
51	1	2	boss3_1	60000	1000	200	-1
52	0	9	31	200	100	3	-1
53	0	19	32	2000	200	7	-1
54	0	34	_gen	600	100	3	-1
55	0	35	33	600	200	7	-1
56	0	36	Null	1000	100	3	-1
57	0	0	34	2000	200	7	-1
58	0	19	35	2000	200	7	-1
59	0	19	36	3500	200	7	1
60	0	19	32	3500	200	7	-1
61	0	9	Null	200	100	3	-1
62	0	9	Null	200	100	3	-1
63	0	0	38	4000	200	7	-1
64	0	0	Null	4000	200	7	-1
65	0	34	Null	150	100	3	-1
66	0	34	Fensan	150	100	7	-1
67	0	3	42	2500	200	7	1
68	0	39	_gen	200	100	3	-1
69	0	4	49	2500	200	7	-1
70	0	1	44	800	100	3	-1
71	0	5	45	3000	200	3	-1
72	0	37	_gen	200	100	3	-1
73	0	7	47	3000	200	7	-1
74	0	38	43	1000	100	3	-1
75	0	7	48	3000	200	3	1
76	0	5	47	3000	200	7	5
77	0	36	43	1000	200	3	-1
78	0	3	46	3000	200	7	-1
79	0	12	55	500	100	4	-1
80	0	36	52	800	200	8	1
81	0	12	55	500	200	4	-1
82	0	36	52	800	200	8	5
83	0	12	Null	500	100	4	-1
84	0	10	56	4000	200	8	-1
85	0	12	Null	300	100	4	-1
86	0	10	56	4000	200	8	-1
87	0	11	53	4000	200	4	-1
88	0	11	53	4000	200	4	-1
89	0	12	Null	300	100	4	-1
90	0	11	57	4000	200	8	-1
91	0	12	Null	300	100	4	-1
92	0	11	57	4000	200	8	-1
93	0	12	58	800	100	4	-1
94	0	12	58	800	100	4	-1
95	0	2	59	1000	200	4	-1
96	0	2	59	1000	200	4	-1
97	0	12	Null	200	100	1	-1
98	0	11	57	6000	200	8	3
99	0	11	57	6000	200	8	5
100	0	8	_gen	200	100	0	3
101	0	8	_gen	200	100	0	1
102	0	8	Null	200	100	0	1
103	0	8	Null	200	100	0	1
104	0	8	Null	200	100	0	1
105	0	8	Null	200	100	0	1
106	0	8	Null	200	100	0	1
107	0	8	Null	200	100	0	1
108	0	7	Null	4000	200	0	-1
109	0	1	Null	200	100	0	-1
110	0	7	Null	4000	200	0	-1
111	1	3	b1	65000	1000	200	-1
112	1	4	b51	70000	1000	200	-1
113	1	5	b61	110000	1000	200	-1
114	1	19	b71	110000	1000	200	-1
115	1	7	b81	52000	1000	400	-1
116	1	8	b91	76000	1000	600	-1
117	1	9	b101	130000	1000	200	-1
118	1	10	b111	64000	1000	500	-1
119	1	11	b121	150000	1000	200	-1
120	0	12	31	400	100	1	-1
121	0	13	61	300	100	1	1
122	0	14	gen3	300	100	1	1
123	0	14	55	200	100	0	3
124	0	14	55	200	100	0	1
125	0	9	61	400	100	5	-1
126	0	19	62	4000	200	9	-1
127	0	9	63	400	100	5	-1
128	0	19	69	4000	200	9	-1
129	0	9	Null	400	100	5	-1
130	0	0	65	4000	200	9	-1
131	0	19	66	4000	200	9	-1
132	0	19	67	6000	200	9	-1
133	0	19	62	6000	200	9	-1
134	0	9	Null	400	100	5	-1
135	0	9	Null	400	100	5	-1
136	0	0	68	7000	200	9	-1
137	0	19	Null	7000	200	9	-1
138	0	34	71	800	100	5	-1
139	0	2	72	900	400	10	1
140	0	34	71	800	200	5	-1
141	0	2	72	900	400	10	5
142	0	1	71	800	200	5	-1
143	0	7	73	6000	400	10	-1
144	0	1	71	800	200	5	-1
145	0	7	73	6000	400	10	-1
146	0	4	74	5500	400	5	-1
147	0	5	74	5500	400	5	-1
148	0	34	71	800	200	5	-1
149	0	3	75	6000	400	10	-1
150	0	34	71	800	200	5	-1
151	0	3	75	6000	400	10	-1
152	0	1	71	2000	200	5	-1
153	0	1	71	2000	200	5	-1
154	0	2	72	1000	200	5	-1
155	0	2	72	3000	200	5	-1
156	0	1	71	1500	200	5	-1
157	0	5	76	8000	400	10	3
158	0	5	76	8000	400	10	5
159	0	1	77	2000	200	1	-1
160	0	12	83	800	200	1	-1
161	0	2	81	900	200	5	-1
162	0	10	82	6000	400	5	1
163	0	12	83	400	200	2	-1
164	0	11	84	6000	400	5	-1
165	0	12	85	700	200	2	-1
166	0	11	88	6000	400	5	-1
167	0	12	83	400	200	2	-1
168	0	11	86	6000	400	5	-1
169	0	2	85	800	200	2	-1
170	0	11	87	6000	400	5	1
171	0	11	86	6000	400	5	-1
172	0	2	85	1000	200	2	-1
173	0	10	89	9000	400	5	-1
174	0	37	71	400	200	2	1
175	0	40	71	400	200	2	-1
176	1	0	boss1normal	75000	2000	200	-1
177	1	0	boss1hard	75000	3000	300	-1
178	1	40	boss2normal	90000	2000	200	-1
179	1	1	boss2hard	90000	3000	300	-1
180	1	2	boss3normal	90000	2000	200	-1
181	1	2	boss3hard	90000	3000	300	-1
182	1	3	boss4normal	100000	2000	200	-1
183	1	3	boss4hard	100000	3000	300	-1
184	1	4	boss5easy	110000	2000	200	-1
185	1	4	boss5hard	110000	3000	200	-1
186	1	5	boss6easy	120000	2000	200	-1
187	1	5	boss6hard	120000	3000	200	-1
188	1	19	boss7easy	120000	2000	200	-1
189	1	19	boss7hard	120000	3000	200	-1
190	1	7	boss8easy	130000	2000	200	-1
191	1	7	boss8hard	130000	3000	200	-1
192	1	38	boss9easy	130000	2000	200	-1
193	1	38	boss9normal	130000	3000	200	-1
194	1	9	boss10easy	140000	2000	200	-1
195	1	9	boss10normal	140000	3000	200	-1
196	1	10	boss11easy	150000	2000	200	-1
197	1	10	boss11normal	150000	3000	200	-1
198	1	11	boss12easy	150000	2000	200	-1
199	1	11	boss12normal	150000	3000	200	-1
200	0	12	83	100	200	2	1
201	0	9	93	500	100	2	-1
202	0	19	91	7000	200	6	-1
203	0	9	93	500	100	2	-1
204	0	19	91	7000	200	6	-1
205	0	19	92	7000	200	6	-1
206	0	19	92	7000	200	6	-1
207	0	9	93	500	100	2	-1
208	0	19	95	7000	200	6	-1
209	0	9	93	500	100	2	-1
210	0	15	95	7000	200	6	-1
211	0	9	93	1500	200	2	-1
212	0	9	93	1500	200	2	-1
213	0	19	97	4000	200	4	-1
214	0	19	97	4000	200	4	-1
215	0	9	93	600	100	2	-1
216	0	19	96	7000	200	6	-1
217	0	19	91	7000	200	6	-1
218	1	1	boss2	90000	1000	200	-1
219	0	19	95	9000	200	0	4
220	0	15	95	9000	200	0	3
221	0	13	93	300	100	1	1
222	0	1	101	450	100	1	-1
223	0	2	102	1350	200	0	1
224	0	1	101	450	100	1	-1
225	0	2	102	1350	200	0	5
226	0	1	101	450	100	1	-1
227	0	3	103	4000	200	3	-1
228	0	1	101	900	100	1	-1
229	0	3	103	1800	200	3	-1
230	0	4	104	6300	200	1	-1
231	0	5	104	6300	200	1	-1
232	0	1	Null	900	100	1	-1
233	0	7	105	4950	200	5	-1
234	0	1	Null	900	100	1	-1
235	0	7	105	4950	200	5	-1
236	0	1	101	900	100	2	-1
237	0	1	101	900	100	2	-1
238	0	2	102	2700	200	3	-1
239	0	2	102	2700	200	3	-1
240	0	1	Null	900	100	1	-1
241	0	7	106	6300	200	0	3
242	0	7	106	6300	200	0	5
243	0	8	101	200	100	0	3
244	0	8	101	200	100	0	1
245	0	12	83	540	200	1	-1
246	0	2	81	900	200	5	-1
247	0	10	82	5850	400	5	1
248	0	12	83	540	200	2	-1
249	0	11	84	6300	400	5	-1
250	0	12	85	720	200	2	-1
251	0	11	88	6300	400	5	-1
252	0	12	83	540	200	2	-1
253	0	11	86	6300	400	5	-1
254	0	2	85	720	200	2	-1
255	0	11	87	6300	400	5	1
256	0	11	86	6300	400	5	-1
257	0	2	85	1350	200	2	-1
258	0	10	89	8100	400	5	-1
259	1	12	boss13	204800	1000	200	-1
260	1	16	boss14	40000	1000	300	-1
261	1	13	boss15	230400	1000	700	-1
262	1	15	boss16	243200	1000	200	-1
263	1	14	boss17	256000	1000	200	-1
264	1	17	boss18	88000	1000	700	-1
265	0	9	tihuan61	960	100	5	-1
266	0	19	tihuan62	3500	200	9	-1
267	0	9	tihuan63	960	100	5	-1
268	0	19	tihuan69	10400	200	9	-1
269	0	9	Null	960	100	5	-1
270	0	15	tihuan65	10400	200	9	-1
271	0	19	tihuan66	10400	200	9	-1
272	0	19	tihuan67	11200	200	9	-1
273	0	19	tihuan62	11200	200	9	-1
274	0	9	Null	960	100	5	-1
275	0	9	Null	960	100	5	-1
276	0	15	tihuan68	14400	200	9	-1
277	0	19	Null	14400	200	9	-1
278	0	13	tihuan61	300	100	1	1
279	0	1	tihuan71	1040	100	5	-1
280	0	2	tihuan72	2560	400	10	1
281	0	1	tihuan71	1040	200	5	-1
282	0	2	tihuan72	2560	400	10	5
283	0	1	tihuan71	1040	200	5	-1
284	0	20	tihuan73	12320	400	10	-1
285	0	1	tihuan71	1040	200	5	-1
286	0	20	tihuan73	10240	400	10	-1
287	0	20	tihuan74	10240	400	5	-1
288	0	20	tihuan74	10240	400	5	-1
289	0	1	tihuan71	1040	200	5	-1
290	0	17	tihuan75	7680	400	10	-1
291	0	1	tihuan71	1040	200	5	-1
292	0	17	tihuan75	12320	400	10	-1
293	0	1	tihuan71	3840	200	5	-1
294	0	1	tihuan71	3840	200	5	-1
295	0	2	tihuan72	2400	200	5	-1
296	0	2	tihuan72	2400	200	5	-1
297	0	1	tihuan71	2400	200	5	-1
298	0	20	tihuan76	14720	400	10	3
299	0	20	tihuan76	14720	400	10	5
300	0	8	tihuan71	400	200	2	1
301	0	1	tihuan71	400	200	2	-1
302	0	1	tihuan77	3600	200	1	-1
303	0	12	tihuan83	1200	200	1	-1
304	0	2	tihuan81	3200	200	5	-1
305	0	18	tihuan82	12160	400	5	1
306	0	12	tihuan83	1200	200	2	-1
307	0	16	tihuan84	12160	400	5	-1
308	0	12	tihuan85	2560	200	2	-1
309	0	16	tihuan88	12160	400	5	-1
310	0	12	tihuan83	1200	200	2	-1
311	0	16	tihuan86	12160	400	5	-1
312	0	2	tihuan85	2560	200	2	-1
313	0	16	tihuan87	12160	400	5	1
314	0	16	tihuan86	12160	400	5	-1
315	0	2	tihuan85	1200	200	2	-1
316	0	18	tihuan89	15360	400	5	-1
317	0	12	tihuan83	100	200	2	1
318	0	9	tihuan833	1360	100	2	-1
319	0	19	tihuan91	12800	200	6	-1
320	0	9	tihuan833	1360	100	2	-1
321	0	19	tihuan91	12800	200	6	-1
322	0	19	tihuan92	12800	200	6	-1
323	0	19	tihuan92	12800	200	6	-1
324	0	9	tihuan93	1360	100	2	-1
325	0	15	tihuan95	12800	200	6	-1
326	0	9	tihuan93	1360	100	2	-1
327	0	15	tihuan95	12800	200	6	-1
328	0	9	tihuan833	3200	200	2	-1
329	0	9	tihuan833	3200	200	2	-1
330	0	19	tihuan97	7680	200	4	-1
331	0	19	tihuan97	7680	200	4	-1
332	0	9	tihuan833	1360	100	2	-1
333	0	19	tihuan96	12800	200	6	-1
334	0	19	tihuan91	12800	200	6	-1
335	0	13	tihuan833	300	100	1	1
336	0	15	tihuan95	16000	200	0	-1
337	0	1	tihuan1012	1620	100	1	-1
338	0	2	tihuan102	3200	200	0	1
339	0	1	tihuan1012	1620	100	1	-1
340	0	2	tihuan102	3200	200	0	5
341	0	1	tihuan101	1620	100	1	-1
342	0	17	tihuan103	13440	200	3	-1
343	0	1	tihuan101	1620	100	1	-1
344	0	17	tihuan103	13440	200	3	-1
345	0	20	tihuan104	13440	200	1	-1
346	0	20	tihuan104	13440	200	1	-1
347	0	1	Null	1620	100	1	-1
348	0	20	tihuan105	13440	200	5	-1
349	0	1	Null	1620	100	1	-1
350	0	20	tihuan105	13440	200	5	-1
351	0	1	tihuan1012	1620	100	2	-1
352	0	1	tihuan1012	1620	100	2	-1
353	0	2	tihuan102	6400	200	3	-1
354	0	2	tihuan102	6400	200	3	-1
355	0	1	Null	1620	100	1	-1
356	0	20	tihuan106	16800	200	0	3
357	0	20	tihuan106	16800	200	0	5
358	0	8	tihuan1012	200	100	0	3
359	0	8	tihuan1012	200	100	0	1
360	0	12	tihuan61	1680	200	1	-1
361	0	2	tihuan111	1680	200	5	-1
362	0	18	tihuan112	19200	400	5	1
363	0	12	tihuan61	1680	200	2	-1
364	0	16	tihuan114	15360	400	5	-1
365	0	12	tihuan115	1200	200	2	-1
366	0	16	tihuan118	15360	400	5	-1
367	0	12	tihuan932	1680	200	2	-1
368	0	16	tihuan116	15360	400	5	-1
369	0	2	tihuan115	1680	200	2	-1
370	0	16	tihuan117	15360	400	5	1
371	0	16	tihuan116	15360	400	5	-1
372	0	2	tihuan115	3360	200	2	-1
373	0	18	tihuan119	17600	400	5	-1
374	0	12	tihuan932	100	200	2	1
375	1	5	b61	110000	1000	200	-1
376	1	19	b71	110000	1000	200	-1
377	1	7	b81	120000	1000	200	-1
378	1	8	b91	120000	1000	200	-1
379	1	9	b101	130000	1000	200	-1
380	1	10	b111	140000	1000	200	-1
381	1	11	b121	150000	1000	200	-1
382	0	21	Null	1	100	5	-1
383	0	22	Null	1	100	5	-1
384	0	23	Null	1	100	5	-1
385	0	24	Null	1	100	5	-1
386	0	25	Null	1	100	5	-1
387	0	26	Null	1	100	5	-1
388	0	27	Null	1	100	5	-1
389	0	1	tihuan932	1620	100	1	-1
390	0	2	tihuan74	3200	200	0	1
391	0	1	tihuan932	1620	100	1	-1
392	0	2	tihuan74	3200	200	0	5
393	0	1	tihuan932	1620	100	1	-1
394	0	17	tihuan62	13440	200	3	-1
395	0	1	tihuan932	1620	100	1	-1
396	0	17	tihuan62	13440	200	3	-1
397	0	20	tihuan67	13440	200	1	-1
398	0	20	tihuan67	13440	200	1	-1
399	0	1	Null	1620	100	1	-1
400	0	20	tihuan89	13440	200	5	-1
401	0	1	Null	1620	100	1	-1
402	0	20	tihuan89	13440	200	5	-1
403	0	1	tihuan932	1620	100	2	-1
404	0	1	tihuan932	1620	100	2	-1
405	0	2	tihuan62	6400	200	3	-1
406	0	2	tihuan62	6400	200	3	-1
407	0	1	Null	1620	100	1	-1
408	0	20	tihuan68	16800	200	0	3
409	0	20	tihuan68	16800	200	0	5
410	0	8	tihuan932	200	100	0	3
411	0	8	tihuan932	200	100	0	1
412	0	12	tihuan61	1680	200	1	-1
413	0	2	tihuan62	1680	200	5	-1
414	0	18	tihuan69	19200	400	5	1
415	0	12	tihuan61	1680	200	2	-1
416	0	16	tihuan75	15360	400	5	-1
417	0	12	tihuan62	1200	200	2	-1
418	0	16	tihuan118	15360	400	5	-1
419	0	12	tihuan61	1680	200	2	-1
420	0	16	tihuan116	15360	400	5	-1
421	0	2	tihuan62	1680	200	2	-1
422	0	16	tihuan75	15360	400	5	1
423	0	16	tihuan76	15360	400	5	-1
424	0	2	tihuan62	3360	200	2	-1
425	0	18	tihuan76	17600	400	5	-1
426	0	12	tihuan61	100	200	2	1
427	1	12	boss13easy	204800	1000	200	-1
428	1	12	boss13hard	204800	1000	200	-1
429	1	16	boss14easy	217600	1000	200	-1
430	1	16	boss14hard	217600	1000	200	-1
431	1	13	boss15easy	230400	1000	200	-1
432	1	13	boss15hard	230400	1000	200	-1
433	1	15	boss16easy	243200	1000	200	-1
434	1	15	boss16hard	243200	1000	200	-1
435	1	14	boss17easy	256000	1000	200	-1
436	1	14	boss17hard	256000	1000	200	-1
437	1	17	boss18easy	268800	1000	200	-1
438	1	17	boss18hard	268800	1000	200	-1
439	1	18	boss19	200000	1000	200	-1
440	1	22	boss20	260000	1000	200	-1
441	1	19	boss21	320000	1000	200	-1
442	1	21	boss22	380000	1000	200	-1
443	1	20	boss23	400000	1000	200	-1
444	1	23	boss24	420000	1000	200	-1
445	0	0	Null	0	0	0	-1
446	0	12	446	2080	200	1	-1
447	0	2	Null	300	200	5	-1
448	0	33	448	20800	400	5	-1
449	0	1	449	500	200	2	-1
450	0	31	450	20800	200	5	-1
451	0	31	450	20800	200	2	-1
452	0	33	452	20800	400	5	-1
453	0	12	446	100	200	2	1
454	0	12	446	100	200	5	3
455	0	1	455	2380	200	2	-1
456	0	29	456	23800	400	5	-1
457	0	9	457	2380	400	5	-1
458	0	32	458	23800	200	2	-1
459	0	28	459	28000	400	5	3
460	0	32	460	23800	200	2	-1
461	0	8	455	100	1	0	1
462	0	8	455	100	1	0	-1
463	0	9	463	300	200	1	-1
464	0	12	464	2700	200	1	-1
465	0	30	465	27000	400	5	-1
466	0	33	466	27000	200	2	-1
467	0	9	463	2700	400	1	-1
468	0	30	468	27000	200	2	-1
469	0	12	464	50	1	0	1
470	0	1	470	3800	200	1	-1
471	0	2	Null	300	200	5	-1
472	0	32	472	38000	400	5	-1
473	0	12	473	500	200	2	-1
474	0	31	474	38000	200	5	-1
475	0	31	474	38000	200	2	-1
476	0	32	476	38000	400	5	-1
477	0	1	470	100	200	2	1
478	0	1	470	100	200	5	3
479	0	9	479	4000	200	2	-1
480	0	29	480	40000	400	5	-1
481	0	9	479	4000	400	5	-1
482	0	33	482	40000	200	2	-1
483	0	28	483	46000	400	5	3
484	0	33	484	40000	200	2	-1
485	0	9	479	50	1	0	1
486	0	9	479	50	1	0	-1
487	0	12	487	500	200	1	-1
488	0	12	488	4200	200	1	-1
489	0	30	489	42000	400	5	-1
490	0	32	490	42000	200	2	-1
491	0	12	487	4200	400	1	-1
492	0	30	492	42000	200	2	-1
493	0	12	488	50	1	0	1
494	1	5	b61	66000	1000	200	-1
495	1	19	b71	66000	1000	200	-1
496	1	7	b81	72000	1000	200	-1
497	1	8	b91	72000	1000	200	-1
498	1	9	b101	78000	1000	200	-1
499	1	10	b111	82000	1000	200	-1
500	1	11	b121	150000	1000	200	-1
501	0	15	tihuan95	3500	200	0	-1
502	0	15	tihuan95	6000	200	0	-1
503	0	15	tihuan95	16000	200	0	-1
504	1	24	boss1	100000	1000	800	-1
505	1	25	boss14	112000	1000	800	-1
506	1	26	b81	124000	1000	800	-1
507	1	27	b111	136000	1000	800	-1
508	1	28	b91	148000	1000	800	-1
509	1	29	boss18	160000	1000	800	-1
510	0	37	Fensan	300	200	0	-1
511	0	40	_gen	300	100	1	-1
512	0	39	Fensan	300	200	0	-1
513	0	36	_gen	300	100	1	-1
514	0	34	Fensan	300	100	1	-1
515	0	40	_gen	600	200	0	-1
516	0	39	_gen	600	100	1	-1
517	0	38	_gen	600	200	0	-1
518	0	37	_gen	600	100	1	-1
519	0	36	_gen	400	100	1	-1
520	0	35	_gen	400	100	1	-1
521	0	34	_gen	400	100	1	-1
522	0	39	gen3	700	100	2	-1
523	0	35	Fensan	1000	200	6	1
524	0	36	gen3	1000	200	2	1
525	0	9	31	700	100	3	-1
526	0	34	Null	1500	100	3	-1
527	0	19	37	2500	200	9	-1
528	0	19	87	2500	200	9	-1
529	0	19	37	2500	200	9	-1
530	0	10	zhonger	4000	200	6	-1
531	0	34	_gen	1600	100	3	-1
532	0	35	33	1600	200	7	-1
533	0	36	36	1600	100	3	-1
534	0	11	57	8000	200	8	-1
535	0	11	57	8000	200	8	3
536	0	39	gen3	1500	100	2	-1
537	0	35	Fensan	6000	200	6	1
538	0	19	66	4000	200	9	-1
539	0	37	446	1000	200	3	3
540	0	38	gen3	1000	200	3	-1
541	0	35	464	2000	200	3	-1
